index,degree,cohort,gender,school,test,total_cfu,total_cfu_g,avg_g,math_course_g,math_course_d,mat_class
204,CdS4,2013,F,IT,16.0,15,12,23,18,2017-07-13,yes
205,CdS3,2015,F,IA,10.0,30,27,23,20,2016-07-13,yes
206,CdS3,2016,F,IT,3.75,21,21,27,0,0000-00-00,no
207,CdS4,2012,F,LC,17.0,36,36,27,22,2013-01-15,yes
208,CdS3,2015,M,LS,17.0,36,36,27,26,2016-06-14,yes
209,CdS3,2014,M,LS,5.0,15,15,28,0,0000-00-00,no
210,CdS3,2010,M,LS,15.0,32,30,25,21,2011-02-25,yes
211,CdS4,2010,M,IT,15.0,39,39,27,18,2015-06-18,yes
212,CdS4,2016,F,LL,5.25,36,36,24,0,0000-00-00,no
213,CdS3,2013,F,AL,9.0,3,0,0,0,0000-00-00,no
214,CdS3,2011,F,IT,15.0,18,15,26,18,2014-09-17,yes
215,CdS4,2014,F,LL,10.0,12,12,22,0,0000-00-00,no
216,CdS4,2011,M,IT,17.0,24,24,21,24,2015-02-05,yes
217,CdS3,2011,F,LL,8.0,6,6,23,0,0000-00-00,no
218,CdS3,2013,M,IT,3.0,45,42,27,31,2014-09-17,yes
219,CdS3,2012,F,LC,13.0,24,21,28,18,2015-02-05,yes
220,CdS4,2011,F,LS,9.0,3,0,0,0,0000-00-00,no
221,CdS3,2012,M,IT,12.0,33,30,26,22,2016-07-13,yes
222,CdS3,2013,F,LS,7.0,6,6,24,0,0000-00-00,no
223,CdS4,2014,F,LC,15.0,39,36,24,19,2016-02-08,yes
224,CdS3,2013,M,LS,9.0,21,18,28,31,2014-09-17,yes
225,CdS3,2015,F,AL,8.0,9,6,24,0,0000-00-00,no
226,CdS3,2016,F,IA,3.5,33,30,28,0,0000-00-00,no
227,CdS3,2016,M,LS,7.25,27,24,23,19,2017-06-27,yes
228,CdS3,2012,M,LS,22.0,6,6,30,0,0000-00-00,no
229,CdS4,2013,M,LS,18.0,36,36,26,26,2014-02-27,yes
230,CdS4,2013,F,AL,15.0,51,48,25,28,2014-02-06,yes
231,CdS4,2014,M,AL,9.0,27,24,24,24,2015-02-26,yes
232,CdS4,2010,F,LS,14.0,60,57,26,24,2011-09-23,yes
233,CdS4,2015,M,LS,12.0,51,48,23,0,0000-00-00,no
234,CdS4,2015,M,LS,16.0,63,60,28,24,2016-02-24,yes
235,CdS3,2013,F,LS,15.0,15,15,22,0,0000-00-00,no
236,CdS3,2010,M,AL,12.0,6,6,27,0,0000-00-00,no
237,CdS3,2016,M,LS,7.0,3,0,0,0,0000-00-00,no
